,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
781,Tomáš Jurčo,28,VEG,RW,8,0,1,1,0,0,0,0,0,0,1,0,0,11,0.0,18,71:40,8:58,0,1,0.0,2,4,0,1,,jurcoto01
782,Arthur Kaliyev,19,LAK,RW,1,1,0,1,-1,0,1,0,0,0,0,0,0,1,100.0,2,14:42,14:42,0,0,,1,0,0,0,,kaliyar01
783,Parker Kelly,21,OTT,F,1,1,0,1,1,0,1,0,0,0,0,0,0,1,100.0,1,7:32,7:32,1,0,100.0,0,4,0,0,,kellypa01
784,Slater Koekkoek,26,EDM,D,18,1,0,1,-7,2,1,0,0,0,0,0,0,17,5.9,41,236:57,13:10,0,0,,31,10,3,11,,koekksl01
785,Joonas Korpisalo,26,CBJ,G,33,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,1747:26,52:57,0,0,,1,0,0,11,,korpijo01
786,Klim Kostin,21,STL,C,2,0,1,1,-1,0,0,0,0,0,1,0,0,0,,2,27:36,13:48,0,0,,0,9,1,2,,kostikl01
787,Peyton Krebs,20,VEG,C,4,0,1,1,1,0,0,0,0,0,1,0,0,1,0.0,5,45:44,11:26,6,3,66.7,1,4,1,1,,krebspe01
788,Rasmus Kupari,20,LAK,C,7,1,0,1,-5,2,1,0,0,0,0,0,0,8,12.5,10,80:18,11:28,35,30,53.8,3,7,0,0,,kuparra01
789,Oliver Kylington,23,CGY,D,8,0,1,1,-1,0,0,0,0,0,1,0,0,7,0.0,16,104:39,13:05,0,0,,1,3,2,4,,kylinol01
790,Robin Lehner,29,VEG,G,19,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1155:19,60:48,0,0,,0,0,1,11,Jennings-1,lehnero01
791,Tyler Lewington,26,NSH,D,2,0,1,1,4,9,0,0,0,0,1,0,0,4,0.0,6,28:20,14:10,0,0,,4,1,0,1,,lewinty01
792,Matt Luff,23,LAK,RW,13,1,0,1,-4,5,1,0,0,0,0,0,0,18,5.6,33,136:17,10:29,2,3,40.0,6,8,2,4,,luffma01
793,Sean Malone,25,NSH,C,1,0,1,1,-1,2,0,0,0,0,1,0,0,1,0.0,1,10:38,10:38,4,4,50.0,0,0,0,0,,malonse01
794,Stefan Matteau,26,CBJ,LW,18,1,0,1,-4,9,1,0,0,0,0,0,0,15,6.7,29,194:50,10:49,2,5,28.6,9,35,7,5,,mattest02
795,Gerald Mayhew,28,MIN,F,4,0,1,1,1,0,0,0,0,0,0,1,0,5,0.0,9,46:58,11:45,0,1,0.0,4,7,1,0,,mayhege01
796,Greg McKegg,28,BOS,C,5,1,0,1,-3,2,1,0,0,0,0,0,0,4,25.0,4,47:52,9:34,20,13,60.6,1,7,1,2,,mckeggr01
797,Ryan McLeod,21,EDM,C,10,0,1,1,-2,0,0,0,0,0,1,0,0,3,0.0,12,127:53,12:47,41,40,50.6,5,3,1,6,,mcleory01
798,Nicolas Meloche,23,SJS,D,7,0,1,1,1,0,0,0,0,0,1,0,0,6,0.0,12,67:08,9:35,0,0,,6,5,0,2,,melocni01
799,Elvis Merzļikins,26,CBJ,G,28,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1496:49,53:27,0,0,,0,0,0,8,,merzlel01
800,Samuel Morin,25,PHI,D,20,1,0,1,-7,37,1,0,0,1,0,0,0,14,7.1,27,203:50,10:12,0,0,,13,38,1,3,,morinsa01
801,Matt Murray,26,OTT,G,27,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,1404:11,52:00,0,0,,0,0,0,10,,murrama02
802,Alex Nedeljkovic,25,CAR,G,23,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,1392:02,60:31,0,0,,0,0,1,16,AR-1Calder-3,nedelal01
803,Drew O'Connor,22,PIT,F,10,0,1,1,-2,2,0,0,0,0,1,0,0,8,0.0,16,89:32,8:57,1,1,50.0,2,6,2,3,,oconndr01
804,Jake Oettinger,22,DAL,G,29,0,1,1,0,4,0,0,0,0,1,0,0,0,,0,1604:08,55:19,0,0,,0,0,0,3,,oettija01
805,Matthew Peca,27,OTT,C,5,0,1,1,1,0,0,0,0,0,1,0,0,3,0.0,7,44:27,8:53,0,5,0.0,3,9,1,3,,pecama01
806,Nic Petan,25,TOR,C,7,0,1,1,-2,4,0,0,0,0,1,0,0,8,0.0,14,71:56,10:17,0,0,,2,6,0,2,,petanni01
807,Calvin Petersen,26,LAK,G,35,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,2015:51,57:36,0,0,,0,0,1,17,,peterca01
808,Tucker Poolman,27,WPG,D,39,0,1,1,-2,2,0,0,0,0,1,0,0,50,0.0,97,714:01,18:18,0,0,,49,69,8,34,,poolmtu01
809,Brogan Rafferty,25,VAN,D,1,0,1,1,-1,0,0,0,0,0,1,0,0,1,0.0,1,13:58,13:58,0,0,,1,1,1,1,,raffebr01
810,Tarmo Reunanen,22,NYR,D,4,0,1,1,1,0,0,0,0,0,1,0,0,5,0.0,6,53:06,13:17,0,0,,5,4,1,0,,reunata01
811,Justin Richards,22,NYR,F,1,0,1,1,1,0,0,0,0,0,1,0,0,2,0.0,2,10:11,10:11,0,0,,1,2,1,0,,richaju01
812,Pekka Rinne,38,NSH,G,24,0,1,1,0,0,0,0,0,0,0,0,1,0,,0,1310:29,54:36,0,0,,0,0,1,3,Clancy-1,rinnepe01
813,Nicholas Robertson,19,TOR,LW,6,0,1,1,1,0,0,0,0,0,1,0,0,9,0.0,18,56:34,9:26,0,0,,2,3,1,1,,roberni01
814,Adam Ružička,21,CGY,C,3,0,1,1,2,4,0,0,0,0,1,0,0,3,0.0,8,32:15,10:45,14,15,48.3,0,1,0,1,,ruzicad01
815,Ilya Samsonov,23,WSH,G,19,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,1092:49,57:31,0,0,,0,0,0,6,,samsoil01
816,Steven Santini,25,STL,D,3,0,1,1,1,0,0,0,0,0,1,0,0,9,0.0,13,42:01,14:00,0,0,,2,12,1,2,,santist01
817,Kole Sherwood,24,CBJ,RW,6,0,1,1,-2,7,0,0,0,0,1,0,0,7,0.0,7,62:07,10:21,0,0,,0,22,1,0,,sherwko01
818,Mitchell Stephens,23,TBL,C,7,0,1,1,-5,0,0,0,0,0,1,0,0,3,0.0,5,66:17,9:28,30,20,60.0,1,8,1,0,,stephmi01
819,Riley Stillman,22,2TM,D,21,1,0,1,5,16,1,0,0,0,0,0,0,29,3.4,55,322:39,15:22,0,0,,29,51,5,16,,stillri01
819,Riley Stillman,22,FLA,D,8,0,0,0,2,14,0,0,0,0,0,0,0,8,0.0,13,85:47,10:43,0,0,,8,14,2,5,,stillri01
819,Riley Stillman,22,CHI,D,13,1,0,1,3,2,1,0,0,0,0,0,0,21,4.8,42,236:52,18:13,0,0,,21,37,3,11,,stillri01
820,Anthony Stolarz,27,ANA,G,8,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,464:18,58:02,0,0,,0,0,0,4,,stolaan01
821,Austin Strand,23,LAK,D,13,0,1,1,2,8,0,0,0,0,1,0,0,11,0.0,27,180:03,13:51,0,0,,15,14,2,1,,stranau01
822,Tyce Thompson,21,NJD,RW,7,0,1,1,-3,0,0,0,0,0,1,0,0,4,0.0,6,61:03,8:43,0,9,0.0,2,5,2,0,,thompty01
823,Jarred Tinordi,28,2TM,D,21,0,1,1,-6,11,0,0,0,0,1,0,0,30,0.0,53,359:06,17:06,0,0,,30,56,6,5,,tinorja01
823,Jarred Tinordi,28,NSH,D,7,0,0,0,-1,4,0,0,0,0,0,0,0,8,0.0,14,116:01,16:34,0,0,,11,12,0,2,,tinorja01
823,Jarred Tinordi,28,BOS,D,14,0,1,1,-5,7,0,0,0,0,1,0,0,22,0.0,39,243:05,17:22,0,0,,19,44,6,3,,tinorja01
824,Dustin Tokarski,31,BUF,G,13,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,729:26,56:07,0,0,,0,0,1,1,,tokardu01
825,Dominic Toninato,26,WPG,C,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0.0,4,25:19,12:40,0,1,0.0,1,4,0,0,,tonindo01
826,Alexander True,23,SJS,F,7,0,1,1,1,6,0,0,0,0,1,0,0,7,0.0,10,69:56,9:59,18,30,37.5,5,4,2,1,,trueal01
827,Semyon Varlamov,32,NYI,G,36,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,2116:56,58:48,0,0,,0,0,0,14,ASnhl-6Vezina-5,varlasi01
828,Joe Veleno,21,DET,C,5,1,0,1,0,4,0,1,0,0,0,0,0,8,12.5,16,75:31,15:06,17,17,50.0,4,7,1,0,,velenjo01
829,Kristian Vesalainen,21,WPG,W,12,0,1,1,0,0,0,0,0,0,1,0,0,5,0.0,10,104:13,8:41,0,0,,5,8,2,2,,vesalkr01
830,Nathan Walker,26,STL,C,8,1,0,1,-4,2,1,0,0,0,0,0,0,10,10.0,17,107:59,13:30,2,3,40.0,6,14,3,1,,walkena01
831,Vitaly Abramov,22,OTT,RW,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,19:26,9:43,0,0,,0,0,0,0,,abramvi01
832,Calen Addison,20,MIN,D,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,6,55:33,18:31,0,0,,1,2,0,0,,addisca01
833,Kenny Agostino,28,TOR,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,4:08,4:08,0,0,,0,0,0,0,,agostke01
834,Jack Ahcan,23,BOS,D,3,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,7,61:55,20:38,0,0,,5,2,0,0,,ahcanja01
835,Frédéric Allard,23,NSH,D,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,,0,16:59,16:59,0,0,,1,0,0,0,,allarfr01
836,Jake Allen,30,MTL,G,29,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,1,1702:36,58:43,0,0,,0,0,0,31,,allenja01
837,Olle Alsing,24,OTT,D,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,3,43:19,10:50,0,0,,2,4,1,2,,alsinol01
838,Mark Alt,29,LAK,D,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0.0,4,27:10,13:35,0,0,,1,2,0,0,,altma01
839,Craig Anderson,39,WSH,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,168:44,42:11,0,0,,0,0,0,1,,andercr01
840,Joey Anderson,22,TOR,RW,1,0,0,0,1,2,0,0,0,0,0,0,0,0,,0,9:36,9:36,0,1,0.0,3,0,0,1,,anderjo08
841,Andy Andreoff,29,PHI,LW,6,0,0,0,-6,9,0,0,0,0,0,0,0,2,0.0,4,51:39,8:37,15,9,62.5,1,14,1,0,,andrean01
842,Justin Bailey,25,VAN,RW,3,0,0,0,-2,2,0,0,0,0,0,0,0,6,0.0,7,20:24,6:48,0,0,,0,2,0,0,,baileju01
843,Matt Bartkowski,32,MIN,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,2,13:02,13:02,0,0,,1,1,0,0,,bartkma01
844,Louis Belpedio,24,MIN,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,3,13:58,13:58,0,0,,1,3,0,0,,belpelo01
845,Simon Benoit,22,ANA,D,6,0,0,0,-3,2,0,0,0,0,0,0,0,3,0.0,8,103:11,17:12,0,0,,9,20,0,1,,benoisi01
846,Lean Bergmann,22,SJS,F,1,0,0,0,-1,4,0,0,0,0,0,0,0,1,0.0,1,10:19,10:19,0,0,,1,3,1,0,,bergmle01
847,Jacob Bernard-Docker,20,OTT,D,5,0,0,0,2,0,0,0,0,0,0,0,0,6,0.0,16,68:18,13:40,0,0,,5,3,0,2,,bernaja01
848,Jonathan Bernier,32,DET,G,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1306:27,54:26,0,0,,0,0,0,3,,bernijo01
849,Mackenzie Blackwood,24,NJD,G,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2090:37,59:44,0,0,,0,0,0,12,,blackma01
850,Sergei Bobrovsky,32,FLA,G,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1816:28,58:36,0,0,,0,0,0,17,,bobrose01
851,William Borgen,24,BUF,D,10,0,0,0,-4,4,0,0,0,0,0,0,0,7,0.0,12,162:38,16:16,0,0,,14,30,0,1,,borgewi01
852,Guillaume Brisebois,23,VAN,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,11:31,11:31,0,0,,3,0,0,1,,brisegu01
853,Laurent Brossoit,27,WPG,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,744:07,53:09,0,0,,0,0,0,8,,brossla01
854,Logan Brown,22,OTT,C,1,0,0,0,0,2,0,0,0,0,0,0,0,0,,2,9:40,9:40,0,4,0.0,0,0,0,1,,brownlo01
855,Patrick Brown,28,VEG,C,4,0,0,0,0,2,0,0,0,0,0,0,0,5,0.0,10,36:23,9:06,16,7,69.6,2,7,1,0,,brownpa02
856,Jack Campbell,29,TOR,G,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1284:24,58:23,0,0,,0,0,2,16,Byng-38,campbja01
857,Kyle Capobianco,23,ARI,D,2,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,8,28:55,14:28,0,0,,2,1,2,1,,capobky01
858,Michael Chaput,28,ARI,C,13,0,0,0,-7,10,0,0,0,0,0,0,0,3,0.0,11,122:14,9:24,35,34,50.7,8,19,2,3,,chapumi01
859,Filip Chlapík,23,OTT,C,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0.0,1,7:11,7:11,0,0,,0,1,0,0,,chlapfi01
860,Fredrik Claesson,28,2TM,D,6,0,0,0,0,12,0,0,0,0,0,0,0,4,0.0,7,74:19,12:23,0,0,,7,10,0,7,,claesfr01
860,Fredrik Claesson,28,SJS,D,4,0,0,0,1,0,0,0,0,0,0,0,0,3,0.0,5,46:17,11:34,0,0,,2,8,0,4,,claesfr01
860,Fredrik Claesson,28,TBL,D,2,0,0,0,-1,12,0,0,0,0,0,0,0,1,0.0,2,28:02,14:01,0,0,,5,2,0,3,,claesfr01
861,Eric Comrie,25,NJD,G,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,60:00,60:00,0,0,,0,0,0,0,,comrier01
862,Josh Currie,28,PIT,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,7:24,7:24,2,3,40.0,0,0,0,0,,currijo01
863,Austin Czarnik,28,NYI,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,4,49:58,12:30,7,5,58.3,2,2,1,1,,czarnau01
864,Kevin Czuczman,30,PIT,D,2,0,0,0,-3,0,0,0,0,0,0,0,0,2,0.0,4,23:18,11:39,0,0,,2,1,0,1,,czuczke01
865,Joey Daccord,24,OTT,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,403:22,50:25,0,0,,0,0,0,4,,daccojo01
866,Oscar Dansk,26,VEG,G,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,61:25,61:25,0,0,,0,0,0,0,,danskos01
867,Brandon Davidson,29,BUF,D,6,0,0,0,-4,4,0,0,0,0,0,0,0,7,0.0,11,92:01,15:20,0,0,,5,14,4,0,,davidbr01
868,Chase De Leo,25,ANA,C,1,0,0,0,-2,0,0,0,0,0,0,0,0,1,0.0,3,13:26,13:26,4,8,33.3,0,1,1,0,,deleoch01
869,Jean-Sébastien Dea,26,BUF,C,1,0,0,0,-1,2,0,0,0,0,0,0,0,2,0.0,2,5:33,5:33,0,0,,0,0,0,0,,deaje01
870,Collin Delia,26,CHI,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,334:29,55:45,0,0,,0,0,0,6,,deliaco01
871,Aaron Dell,31,NJD,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,319:10,45:36,0,0,,0,0,0,1,,dellaa01
872,Thatcher Demko,25,VAN,G,35,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2086:48,59:37,0,0,,0,0,1,15,,demkoth01
873,Louis Domingue,28,CGY,G,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,57:42,57:42,0,0,,0,0,0,0,,dominlo01
874,Sheldon Dries,26,COL,C,3,0,0,0,1,4,0,0,0,0,0,0,0,1,0.0,5,23:26,7:49,0,1,0.0,0,6,1,0,,driessh01
875,Devan Dubnyk,34,2TM,G,22,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1182:22,53:45,0,0,,0,0,0,10,,dubnyde01
875,Devan Dubnyk,34,SJS,G,17,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,887:44,52:13,0,0,,0,0,0,5,,dubnyde01
875,Devan Dubnyk,34,COL,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,294:38,58:56,0,0,,0,0,0,5,,dubnyde01
876,Joshua Dunne,22,CBJ,C,6,0,0,0,-1,4,0,0,0,0,0,0,0,7,0.0,10,62:19,10:23,6,28,17.6,7,12,1,0,,dunnejo01
877,David Farrance,21,NSH,D,2,0,0,0,3,0,0,0,0,0,0,0,0,3,0.0,4,36:15,18:08,0,0,,1,1,0,0,,farrada01
878,Hudson Fasching,25,ARI,RW,5,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,9,47:19,9:28,0,0,,1,6,0,1,,faschhu01
879,Anton Forsberg,28,OTT,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,448:33,56:04,0,0,,0,0,0,4,,forsban01
880,Martin Frk,27,LAK,RW,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,,1,9:21,9:21,0,0,,0,1,0,0,,frkma01
881,Michael Frolík,32,MTL,LW,8,0,0,0,-3,0,0,0,0,0,0,0,0,14,0.0,25,91:34,11:27,6,4,60.0,1,9,2,1,,frolimi01
882,Morgan Frost,21,PHI,C,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,20:28,10:14,10,10,50.0,0,0,0,1,,frostmo01
883,Kurtis Gabriel,27,SJS,RW,11,0,0,0,1,55,0,0,0,0,0,0,0,4,0.0,11,84:20,7:40,0,0,,10,46,1,0,,gabriku01
884,Jonah Gadjovich,22,VAN,LW,1,0,0,0,-1,17,0,0,0,0,0,0,0,0,,0,4:55,4:55,0,0,,0,1,0,0,,gadjojo01
885,Frederik Gauthier,25,ARI,C,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,1,13:29,6:45,6,10,37.5,1,1,0,0,,gauthfr01
886,Timothy Gettinger,22,NYR,LW,2,0,0,0,-2,0,0,0,0,0,0,0,0,2,0.0,2,23:26,11:43,1,0,100.0,1,5,1,0,,gettiti01
887,Christopher Gibson,28,TBL,G,2,0,0,0,,0,0,0,0,0,0,0,0,0,,0,112:58,56:29,0,0,,0,0,0,0,,gibsoch01
888,John Gibson,27,ANA,G,35,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2030:30,58:01,0,0,,0,0,0,13,,gibsojo02
889,Dennis Gilbert,24,COL,D,3,0,0,0,0,5,0,0,0,0,0,0,0,0,,1,20:09,6:43,0,0,,1,2,0,0,,gilbede01
890,A.J. Greer,24,NJD,LW,1,0,0,0,0,7,0,0,0,0,0,0,0,0,,0,8:33,8:33,0,0,,0,0,0,0,,greeraj01
891,Thomas Greiss,35,DET,G,34,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1755:09,51:37,0,0,,0,1,0,8,,greisth01
892,Troy Grosenick,31,LAK,G,2,0,0,0,,0,0,0,0,0,0,0,0,0,,0,120:00,60:00,0,0,,0,0,0,0,,grosetr01
893,David Gustafsson,20,WPG,C,4,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,2,23:16,5:49,11,10,52.4,0,0,1,0,,gustada01
894,Filip Gustavsson,22,OTT,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,471:34,52:24,0,0,,0,0,0,6,,gustafi01
895,Jaroslav Halák,35,BOS,G,19,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,1090:01,57:22,0,0,,0,0,0,3,,halakja01
896,Micheal Haley,34,OTT,C,4,0,0,0,-1,5,0,0,0,0,0,0,0,0,,1,24:10,6:03,0,1,0.0,0,10,0,0,,haleymi01
897,Carter Hart,22,PHI,G,27,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1456:19,53:56,0,0,,0,0,0,9,,hartca01
898,Ville Heinola,19,WPG,D,5,0,0,0,-2,2,0,0,0,0,0,0,0,9,0.0,10,77:39,15:32,0,0,,9,2,1,2,,heinovi01
899,Connor Hellebuyck,27,WPG,G,45,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2602:49,57:50,0,0,,0,0,2,40,ASnhl-5Hart-19Vezina-4,helleco01
900,Adin Hill,24,ARI,G,19,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1005:54,52:57,0,0,,0,0,0,6,,hillad01
901,Marcus Högberg,26,OTT,G,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,641:51,45:51,0,0,,0,0,0,3,,hogbema01
902,Michael Houser,28,BUF,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,243:02,60:46,0,0,,0,0,0,2,,housemi01
903,Cameron Hughes,24,BOS,C,1,0,0,0,-1,0,0,0,0,0,0,0,0,3,0.0,6,16:05,16:05,5,7,41.7,1,2,3,0,,hugheca01
904,Ville Husso,25,STL,G,17,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,917:19,53:58,0,0,,0,0,0,4,,hussovi01
905,Michael Hutchinson,30,TOR,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,421:52,52:44,0,0,,0,0,0,5,,hutchmi01
906,Carter Hutton,35,BUF,G,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1,674:43,51:54,0,0,,0,0,0,5,,huttoca01
907,Jonas Johansson,25,2TM,G,15,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,816:50,54:27,0,0,,0,0,1,5,,johanjo03
907,Jonas Johansson,25,BUF,G,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,379:53,54:16,0,0,,0,0,0,3,,johanjo03
907,Jonas Johansson,25,COL,G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,436:57,54:37,0,0,,0,0,1,2,,johanjo03
908,Reese Johnson,22,CHI,F,5,0,0,0,-2,9,0,0,0,0,0,0,0,4,0.0,5,39:44,7:57,0,1,0.0,2,22,0,0,,johnsre01
909,Martin Jones,31,SJS,G,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1868:25,54:57,0,0,,0,0,0,3,,jonesma02
910,Noah Juulsen,23,FLA,D,4,0,0,0,-3,0,0,0,0,0,0,0,0,5,0.0,7,47:52,11:58,0,0,,4,9,0,2,,juulsno01
911,Kaapo Kähkönen,24,MIN,G,24,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,1414:28,58:56,0,0,,0,0,0,11,Calder-15,kahkoka01
912,David Kaše,24,PHI,RW,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,10:58,10:58,0,0,,1,0,0,1,,kaseda01
913,Ondřej Kaše,25,BOS,RW,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,9,25:31,8:30,0,0,,1,1,1,1,,kaseon01
914,Kasimir Kaskisuo,27,NSH,G,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,15:22,15:22,0,0,,0,0,0,0,,kaskika01
915,Martin Kaut,21,COL,RW,5,0,0,0,-1,4,0,0,0,0,0,0,0,2,0.0,3,39:59,8:00,0,0,,1,6,0,0,,kautma01
916,Joey Keane,21,CAR,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,3,19:34,19:34,0,0,,0,2,0,1,,keanejo01
917,Brady Keeper,24,FLA,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,9:28,9:28,0,0,,0,1,0,0,,keepebr01
918,Matt Kiersted,22,FLA,D,7,0,0,0,-4,2,0,0,0,0,0,0,0,6,0.0,11,106:12,15:10,0,0,,10,1,1,7,,kiersma01
919,Keith Kinkaid,31,NYR,G,9,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,485:53,53:59,0,0,,0,0,0,2,,kinkake01
920,Matiss Kivlenieks,24,CBJ,G,2,0,0,0,,0,0,0,0,0,0,0,0,0,,0,123:21,61:41,0,0,,0,0,0,0,,kivlema01
921,Spencer Knight,19,FLA,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,206:54,51:44,0,0,,0,0,0,5,,knighsp01
922,Josef Kořenář,23,SJS,G,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,491:50,49:11,0,0,,0,0,0,1,,korenjo01
923,Darcy Kuemper,30,ARI,G,27,0,0,0,0,4,0,0,0,0,0,0,0,0,,0,1546:37,57:17,0,0,,0,0,0,1,,kuempda01
924,Tanner Laczynski,23,PHI,C,5,0,0,0,1,0,0,0,0,0,0,0,0,6,0.0,9,49:53,9:59,11,16,40.7,1,5,2,1,,laczyta01
925,Maxime Lagace,28,PIT,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,60:00,60:00,0,0,,0,0,0,1,,lagacma01
926,Otto Leskinen,23,MTL,D,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,16:23,16:23,0,0,,0,1,0,2,,leskiot01
927,Vinni Lettieri,25,ANA,C,5,0,0,0,-3,0,0,0,0,0,0,0,0,7,0.0,12,63:36,12:43,2,3,40.0,1,9,2,1,,lettivi01
928,Timothy Liljegren,21,TOR,D,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0.0,5,30:11,15:06,0,0,,2,3,0,1,,liljeti01
929,Kole Lind,22,VAN,RW,7,0,0,0,-4,0,0,0,0,0,0,0,0,4,0.0,12,92:03,13:09,0,0,,3,8,2,2,,lindko01
930,Pär Lindholm,29,BOS,C,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,12:55,12:55,4,1,80.0,0,0,0,0,,lindhpa01
931,William Lockwood,22,VAN,RW,2,0,0,0,-2,2,0,0,0,0,0,0,0,3,0.0,4,28:23,14:12,0,0,,1,6,0,1,,lockwwi01
932,Ukko-Pekka Luukkonen,21,BUF,G,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,216:42,54:11,0,0,,0,0,0,1,,luukkuk01
933,Alex Lyon,28,PHI,G,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,324:09,54:02,0,0,,0,0,0,2,,lyonal01
934,Ryan MacInnis,24,CBJ,C,16,0,0,0,-3,0,0,0,0,0,0,0,0,14,0.0,23,159:35,9:58,28,31,47.5,3,19,3,5,,macinry01
935,Philippe Maillet,28,WSH,F,2,0,0,0,-1,0,0,0,0,0,0,0,0,1,0.0,3,18:18,9:09,6,6,50.0,0,1,0,1,,maillph01
936,Jacob Markström,31,CGY,G,43,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,2507:56,58:19,0,0,,0,1,1,41,,marksja02
937,Michael McCarron,25,NSH,RW,6,0,0,0,1,16,0,0,0,0,0,0,0,3,0.0,8,61:45,10:18,18,24,42.9,0,12,2,0,,mccarmi01
938,Curtis McElhinney,37,TBL,G,12,0,0,0,0,2,0,0,0,0,0,0,0,0,,0,719:19,59:57,0,0,,0,0,0,3,,mcelhcu01
939,Connor McMichael,20,WSH,C,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,2,9:54,9:54,1,0,100.0,0,0,0,0,,mcmicco01
