,,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,Shots,Shots,Shots,Ice Time,Ice Time,Faceoffs,Faceoffs,Faceoffs,,,,,,-additional
Rk,Player,Age,Team,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,TOI,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE,Awards,-9999
569,Hampus Lindholm,27,ANA,D,18,2,4,6,-1,16,2,0,0,0,3,1,0,29,6.9,68,396:32,22:02,0,0,,19,9,7,15,,lindhha01
570,Frans Nielsen,36,DET,C,29,1,5,6,-3,0,1,0,0,0,5,0,0,24,4.2,37,351:55,12:08,21,19,52.5,12,23,7,4,,nielsfr01
571,Alexander Romanov,21,MTL,D,54,1,5,6,1,21,1,0,0,0,4,1,0,71,1.4,191,931:50,17:15,0,0,,60,138,8,49,,romanal01
572,Carter Rowney,31,ANA,RW,19,0,6,6,-2,2,0,0,0,0,6,0,0,10,0.0,18,271:22,14:17,8,6,57.1,21,45,8,3,,rowneca01
573,Arttu Ruotsalainen,23,BUF,F,17,5,1,6,-9,8,5,0,0,0,1,0,0,28,17.9,46,237:41,13:59,4,6,40.0,4,16,4,5,,ruotsar01
574,David Savard,30,2TM,D,54,1,5,6,-27,24,1,0,0,1,4,0,1,69,1.4,124,1071:41,19:51,0,0,,109,132,7,24,,savarda01
574,David Savard,30,CBJ,D,40,1,5,6,-19,24,1,0,0,1,4,0,1,48,2.1,85,785:38,19:38,0,0,,89,95,6,19,,savarda01
574,David Savard,30,TBL,D,14,0,0,0,-8,0,0,0,0,0,0,0,0,21,0.0,39,286:03,20:26,0,0,,20,37,1,5,,savarda01
575,Radim Šimek,28,SJS,D,40,2,4,6,-9,15,2,0,0,0,4,0,0,26,7.7,50,568:29,14:13,0,0,,49,76,7,13,,simekra01
576,Derek Stepan,30,OTT,C,20,1,5,6,-6,8,1,0,0,0,3,2,0,44,2.3,70,301:17,15:04,130,130,50.0,16,25,10,6,,stepade01
577,Sami Vatanen,29,2TM,D,39,2,4,6,3,20,2,0,0,0,4,0,0,55,3.6,102,663:36,17:01,0,0,,49,27,8,21,,vatansa01
577,Sami Vatanen,29,NJD,D,30,2,4,6,2,18,2,0,0,0,4,0,0,41,4.9,72,517:06,17:14,0,0,,37,21,8,13,,vatansa01
577,Sami Vatanen,29,DAL,D,9,0,0,0,1,2,0,0,0,0,0,0,0,14,0.0,30,146:30,16:17,0,0,,12,6,0,8,,vatansa01
578,Marc-Édouard Vlasic,33,SJS,D,51,1,5,6,-7,8,1,0,0,0,5,0,0,37,2.7,87,893:05,17:31,0,0,,64,40,10,15,,vlasima01
579,Brett Connolly,28,2TM,RW,31,3,3,6,3,4,3,0,0,0,2,1,0,26,11.5,57,376:29,12:09,4,9,30.8,8,44,7,8,,connobr01
579,Brett Connolly,28,FLA,RW,21,2,2,4,4,2,2,0,0,0,2,0,0,16,12.5,39,264:26,12:36,3,8,27.3,5,25,2,7,,connobr01
579,Brett Connolly,28,CHI,RW,10,1,1,2,-1,2,1,0,0,0,0,1,0,10,10.0,18,112:03,11:12,1,1,50.0,3,19,5,1,,connobr01
580,Mikko Lehtonen,27,2TM,D,26,0,6,6,-2,8,0,0,0,0,5,1,0,33,0.0,58,412:54,15:53,0,0,,15,30,8,10,,lehtomi03
580,Mikko Lehtonen,27,TOR,D,9,0,3,3,1,4,0,0,0,0,2,1,0,9,0.0,18,106:51,11:52,0,0,,2,5,1,5,,lehtomi03
580,Mikko Lehtonen,27,CBJ,D,17,0,3,3,-3,4,0,0,0,0,3,0,0,24,0.0,40,306:03,18:00,0,0,,13,25,7,5,,lehtomi03
581,Jay Beagle,35,VAN,RW,30,1,4,5,-2,8,1,0,0,0,4,0,0,21,4.8,38,375:34,12:31,173,135,56.2,8,34,11,4,,beaglja01
582,Emil Bemström,21,CBJ,C,20,3,2,5,2,0,2,1,0,0,2,0,0,28,10.7,54,257:07,12:51,0,0,,8,15,2,5,,bemstem01
583,Robert Bortuzzo,31,STL,D,40,1,4,5,-3,47,1,0,0,1,4,0,0,31,3.2,70,566:31,14:10,0,0,,49,85,7,17,,borturo01
584,Evan Bouchard,21,EDM,D,14,2,3,5,-2,2,1,1,0,0,3,0,0,38,5.3,69,207:41,14:50,0,0,,11,11,4,10,,bouchev01
585,Adam Brooks,24,TOR,C,11,4,1,5,4,0,2,1,1,0,1,0,0,10,40.0,14,117:27,10:41,7,10,41.2,2,14,4,4,,brookad01
586,Ryan Carpenter,30,CHI,C,40,4,1,5,-10,19,2,1,1,0,1,0,0,51,7.8,75,507:39,12:41,61,65,48.4,17,78,4,7,,carpery01
587,Cole Caufield,20,MTL,RW,10,4,1,5,-1,2,4,0,0,2,1,0,0,30,13.3,56,139:36,13:58,0,0,,0,3,3,4,,caufico01
588,Ty Dellandrea,20,DAL,C,26,3,2,5,0,23,1,2,0,0,1,1,0,31,9.7,59,324:38,12:29,45,55,45.0,10,47,4,6,,dellaty01
589,Justin Dowling,30,DAL,C,27,1,4,5,-4,6,1,0,0,0,3,1,0,27,3.7,55,298:55,11:04,43,43,50.0,3,17,6,6,,dowliju01
590,Trent Frederic,22,BOS,C,42,4,1,5,-8,65,4,0,0,3,1,0,0,44,9.1,75,472:43,11:15,37,33,52.9,15,61,9,7,,fredetr01
591,Andy Greene,38,NYI,D,55,1,4,5,9,6,1,0,0,0,4,0,0,50,2.0,125,966:47,17:35,0,0,,99,41,6,19,Byng-46,greenan01
592,Robert Hägg,25,PHI,D,34,2,3,5,-3,18,2,0,0,0,3,0,0,29,6.9,77,532:39,15:40,0,0,,31,100,5,20,,haggro01
593,Jayce Hawryluk,25,VAN,C,30,2,3,5,-7,9,2,0,0,1,3,0,0,18,11.1,33,289:13,9:38,1,1,50.0,11,43,5,12,,hawryja01
594,John Hayden,25,ARI,C,29,2,3,5,-4,37,2,0,0,2,3,0,0,21,9.5,38,284:36,9:49,4,9,30.8,16,84,4,4,,haydejo01
595,Niklas Hjalmarsson,33,ARI,D,41,0,5,5,-6,18,0,0,0,0,5,0,0,29,0.0,67,711:47,17:22,0,0,,69,15,10,29,,hjalmni01
596,Ben Hutton,27,2TM,D,38,1,4,5,-13,11,1,0,0,0,4,0,0,54,1.9,101,701:26,18:28,0,0,,39,44,8,22,,huttobe01
596,Ben Hutton,27,ANA,D,34,1,4,5,-13,11,1,0,0,0,4,0,0,51,2.0,91,629:19,18:31,0,0,,36,37,6,19,,huttobe01
596,Ben Hutton,27,TOR,D,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,10,72:07,18:02,0,0,,3,7,2,3,,huttobe01
597,Pierre-Olivier Joseph,21,PIT,D,16,1,4,5,1,6,1,0,0,0,4,0,0,27,3.7,48,268:37,16:47,0,0,,7,22,4,8,,joseppi01
598,Steven Kampfer,32,BOS,D,20,2,3,5,3,4,1,1,0,0,3,0,0,28,7.1,49,334:07,16:42,0,0,,24,20,6,5,,kampfst01
599,Zack Kassian,30,EDM,RW,27,2,3,5,-4,15,2,0,0,0,3,0,0,18,11.1,38,320:05,11:51,0,2,0.0,3,73,3,7,,kassiza01
600,Dean Kukan,27,CBJ,D,35,1,4,5,-3,10,1,0,0,0,4,0,0,29,3.4,50,496:37,14:11,0,0,,38,36,6,17,,kukande01
601,Juho Lammikko,25,FLA,RW,44,4,1,5,-8,10,3,0,1,0,1,0,0,43,9.3,70,476:34,10:50,124,152,44.9,16,50,7,12,,lammiju01
